food_code,food_description,method,method_description,nhanes,price_100gm
11100000,"Milk, NFS",2,Links to altEC,Base,0.100484
11111000,"Milk, whole (Includes 3.5% or 3.8% fat milk; leche fresca)",1,Links to FNDDS,Base,0.09828
11112110,"Milk, reduced fat (2%) (Includes Hi-Protein milk; fortified milk; 1.5% fat milk)",1,Links to FNDDS,Base,0.092085
11112210,"Milk, low fat (1%)",1,Links to FNDDS,Base,0.090914
11113000,"Milk, fat free (skim) (Includes nonfat milk; 0.5% or less fat)",1,Links to FNDDS,Base,0.092441
11114300,"Milk, lactose free, low fat (1%) (Includes Lactaid; Lactaid, NS as to fat content; lactose reduced)",1,Links to FNDDS,Base,0.202032
11114330,"Milk, lactose free, reduced fat (2%) (Includes Lactaid; lactose reduced)",1,Links to FNDDS,Base,0.203736
11114350,"Milk, lactose free, whole (Includes Lactaid whole milk; lactose reduced)",1,Links to FNDDS,Base,0.201889
11115000,"Buttermilk, fat free (skim) (Includes nonfat buttermilk)",1,Links to FNDDS,Base,0.210548
11115100,"Buttermilk, low fat (1%) (Includes buttermilk, NS as to fat)",1,Links to FNDDS,Base,0.173914
11115200,"Buttermilk, reduced fat (2%) (Includes 2% fat, made with nonfat milk solids)",1,Links to FNDDS,Base,0.25371
11115300,"Buttermilk, whole",1,Links to FNDDS,Base,0.179582
11115400,"Kefir, NS as to fat content (Includes fermented milk drink; plain; all flavors)",1,Links to FNDDS,Base,0.345625
11120000,"Milk, dry, reconstituted, NS as to fat content",2,Links to altEC,Base,0.043593
11121100,"Milk, dry, reconstituted, whole",2,Links to altEC,Base,0.043593
11121210,"Milk, dry, reconstituted, low fat (1%)",2,Links to altEC,Base,0.043593
11121300,"Milk, dry, reconstituted, fat free (skim) (Includes nonfat milk)",2,Links to altEC,Base,0.043593
11210050,"Milk, evaporated, NS as to fat content",1,Links to FNDDS,Base,0.267001
11211050,"Milk, evaporated, whole",1,Links to FNDDS,Base,0.257601
11211400,"Milk, evaporated, reduced fat (2%)",1,Links to FNDDS,Base,0.358374
11212050,"Milk, evaporated, fat free (skim) (Includes nonfat milk)",1,Links to FNDDS,Base,0.333665
11220000,"Milk, condensed, sweetened",1,Links to FNDDS,Base,0.369704
11320000,Soy milk (Includes Edensoy; vanilla flavored; Silk; West Soy; Soymilk; NS as to type; Vitasoy),1,Links to FNDDS,Base,0.169213
11320100,"Soy milk, light (Includes vanilla flavored; Silk; Vitasoy; West Soy; Soymilk)",1,Links to FNDDS,Base,0.124155
11320200,"Soy milk, nonfat (Includes vanilla flavored; West Soy; Soymilk)",2,Links to altEC,Base,0.124155
11321000,"Soy milk, chocolate (Includes Silk; Belsoy; Soymilk)",1,Links to FNDDS,Base,0.179923
11321100,"Soy milk, light, chocolate (Includes Silk; Vitasoy; Soymilk)",2,Links to altEC,Base,0.124155
11321200,"Soy milk, nonfat, chocolate (Includes Soymilk)",2,Links to altEC,Base,0.124155
11350000,"Almond milk, sweetened (Includes vanilla flavored; NS as to sweetened; cashew)",1,Links to FNDDS,Base,0.169743
11350010,"Almond milk, sweetened, chocolate (Includes NS as to sweetened; cashew)",1,Links to FNDDS,Base,0.170165
11350020,"Almond milk, unsweetened (Includes unsweetened vanilla; flavors other than chocolate; cashew)",1,Links to FNDDS,Base,0.15624
11350030,"Almond milk, unsweetened, chocolate (Includes Blue Diamond Almond Breeze; Silk PureAlmond; Almond Dream)",2,Links to altEC,Base,0.15624
11360000,Rice milk (Includes Rice Dream beverage),1,Links to FNDDS,Base,0.212532
11370000,Coconut milk (Includes Silk PureCoconut beverage; So Delicious),1,Links to FNDDS,Base,0.264438
11400000,"Yogurt, NFS",2,Links to altEC,Base,0.512179
11400010,"Yogurt, Greek, NS as to type of milk or flavor",2,Links to altEC,Base,0.583603
11410000,"Yogurt, NS as to type of milk or flavor",2,Links to altEC,Base,0.443067
11411010,"Yogurt, NS as to type of milk, plain",2,Links to altEC,Base,0.412198
11411100,"Yogurt, whole milk, plain",2,Links to altEC,Base,0.412198
11411200,"Yogurt, low fat milk, plain (Includes 1% fat; 2% fat; 99% fat free; light)",2,Links to altEC,Base,0.412198
11411300,"Yogurt, nonfat milk, plain (Includes 0% fat; fat free; light; light, NFS)",2,Links to altEC,Base,0.412198
11411390,"Yogurt, Greek, NS as to type of milk, plain",2,Links to altEC,Base,0.605436
11411400,"Yogurt, Greek, whole milk, plain",2,Links to altEC,Base,0.605436
11411410,"Yogurt, Greek, low fat milk, plain (Includes 2% fat; 1% fat; 99% fat free; light)",2,Links to altEC,Base,0.605436
11411420,"Yogurt, Greek, nonfat milk, plain (Includes 0% fat; fat free; light; light, NFS)",2,Links to altEC,Base,0.605436
11430000,"Yogurt, NS as to type of milk, fruit",2,Links to altEC,Base,0.435241
11431000,"Yogurt, whole milk, fruit",2,Links to altEC,Base,0.435241
11432000,"Yogurt, low fat milk, fruit (Includes Go-Gurt Portable Yogurt tube; 1% fat; 2% fat; 99% fat free; light)",2,Links to altEC,Base,0.435241
11433000,"Yogurt, nonfat milk, fruit (Includes 0% fat; fat free; light; light, NFS)",2,Links to altEC,Base,0.435241
11433990,"Yogurt, Greek, NS as to type of milk, fruit",2,Links to altEC,Base,0.628099
11434000,"Yogurt, Greek, whole milk, fruit",2,Links to altEC,Base,0.628099
11434010,"Yogurt, Greek, low fat milk, fruit (Includes 2% fat; 1% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes)",2,Links to altEC,Base,0.628099
11434020,"Yogurt, Greek, nonfat milk, fruit (Includes 0% fat; fat free; light; light, NFS)",2,Links to altEC,Base,0.628099
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",2,Links to altEC,Base,0.528725
11434100,"Yogurt, whole milk, flavors other than fruit",2,Links to altEC,Base,0.528725
11434200,"Yogurt, low fat milk, flavors other than fruit (Includes 1% fat; 2% fat; 99% fat free; light; Go-Gurt Portable Yogurt tube)",2,Links to altEC,Base,0.528725
11434300,"Yogurt, nonfat milk, flavors other than fruit (Includes 0% fat; fat free; light; light, NFS)",2,Links to altEC,Base,0.528725
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",2,Links to altEC,Base,0.530098
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",2,Links to altEC,Base,0.530098
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit (Includes 1% fat; 2% fat; 99% fat free; light; Chobani Kids Greek Yogurt Tubes)",2,Links to altEC,Base,0.530098
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit (Includes 0% fat; fat free)",2,Links to altEC,Base,0.530098
11435100,"Yogurt, Greek, with oats (Includes all types; with granola)",1,Links to FNDDS,Base,0.719278
11436000,"Yogurt, liquid (Includes all types and flavors)",1,Links to FNDDS,Base,0.441197
11440010,"Chipotle dip, yogurt based (Includes jalapeno dip; Southwest dip; greek yogurt based; regular or light)",1,Links to FNDDS,Base,1.082506
11440020,"Dill dip, yogurt based (Includes cucumber dill dip; greek yogurt based; regular or light)",1,Links to FNDDS,Base,1.071189
11440030,"Onion dip, yogurt based (Includes French onion dip; toasted onion dip; green onion dip; greek yogurt based; regular or light)",1,Links to FNDDS,Base,1.117195
11440040,"Ranch dip, yogurt based (Includes greek yogurt based; regular or light)",1,Links to FNDDS,Base,1.049106
11440050,"Spinach dip, yogurt based (Includes greek yogurt based; regular or light)",1,Links to FNDDS,Base,0.940725
11440060,Tzatziki dip (Includes Greek dip),1,Links to FNDDS,Base,1.217789
11440070,"Vegetable dip, yogurt based (Includes greek yogurt based; regular or light)",2,Links to altEC,Base,0.998616
11446000,"Yogurt parfait, low fat, with fruit (Includes McDonald's Fruit 'n Yogurt Parfait; with granola)",1,Links to FNDDS,Base,1.186322
11459990,"Frozen yogurt, NFS",2,Links to altEC,Base,0.329057
11460000,"Frozen yogurt, vanilla (Includes other flavors; swirl; in a cup; scoop)",1,Links to FNDDS,Base,0.334977
11460100,"Frozen yogurt, chocolate (Includes in a cup; scoop)",1,Links to FNDDS,Base,0.298724
11460500,"Frozen yogurt, soft serve, vanilla (Includes other flavors; swirl; NS as to flavor; in a cup)",2,Links to altEC,Base,0.334977
11460510,"Frozen yogurt, soft serve, chocolate (Includes in a cup)",2,Links to altEC,Base,0.298724
11461200,Frozen yogurt sandwich (Includes all flavors; prepackaged frozen yogurt cone),1,Links to FNDDS,Base,1.182591
11461210,"Frozen yogurt bar, vanilla (Includes frozen yogurt bar, NFS; stick; other flavors; swirl; with or without coating)",2,Links to altEC,Base,1.0936
11461220,"Frozen yogurt bar, chocolate (Includes stick; with or without coating)",1,Links to FNDDS,Base,1.056545
11461250,"Frozen yogurt cone, chocolate (Includes scooped or soft serve)",2,Links to altEC,Base,1.182591
11461260,"Frozen yogurt cone, vanilla (Includes other flavors; swirl; scooped or soft serve)",2,Links to altEC,Base,1.182591
11461300,"Frozen yogurt cone, vanilla, waffle cone (Includes other flavors; swirl; scooped or soft serve)",2,Links to altEC,Base,1.182591
11461320,"Frozen yogurt cone, chocolate, waffle cone (Includes scooped or soft serve)",2,Links to altEC,Base,1.182591
11480010,"Yogurt, whole milk, baby food (Includes YoBaby Original, all flavors)",1,Links to FNDDS,Base,0.595216
11511000,"Chocolate milk, NFS (Includes NS as to milk or drink)",2,Links to altEC,Base,0.173113
11511100,"Chocolate milk, ready to drink, whole",1,Links to FNDDS,Base,0.203481
11511200,"Chocolate milk, ready to drink, reduced fat (Includes 2% fat)",1,Links to FNDDS,Base,0.215182
11511300,"Chocolate milk, ready to drink, fat free (Includes nonfat milk; skim)",1,Links to FNDDS,Base,0.174174
11511400,"Chocolate milk, ready to drink, low fat (Includes Hershey's Chocolate milk; 1% fat)",1,Links to FNDDS,Base,0.132357
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk (Includes TruMoo; less sugar)",2,Links to altEC,Base,0.172976
11511600,"Chocolate milk, ready to drink, low fat (Nesquik) (Includes NS as to type of milk; regular, reduced, or less sugar; 1% fat)",1,Links to FNDDS,Base,0.345884
11511610,"Chocolate milk, ready to drink, fat free (Nesquik) (Includes regular, reduced, or less sugar; skim)",1,Links to FNDDS,Base,0.363218
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik) (Includes NS as to type of milk; 1% fat)",2,Links to altEC,Base,0.345884
11512010,"Hot chocolate / Cocoa, ready to drink (Includes whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar)",2,Links to altEC,Base,0.136549
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk (Includes low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar)",2,Links to altEC,Base,0.136549
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk (Includes almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar)",2,Links to altEC,Base,0.136549
11513000,"Chocolate milk, made from dry mix, NS as to type of milk",4,FNDDS recipe with replaced or modified SR codes,Base,0.154594
11513100,"Chocolate milk, made from dry mix with whole milk",4,FNDDS recipe with replaced or modified SR codes,Base,0.156405
11513150,"Chocolate milk, made from dry mix with reduced fat milk (Includes 2% fat)",4,FNDDS recipe with replaced or modified SR codes,Base,0.153951
11513200,"Chocolate milk, made from dry mix with low fat milk (Includes 1% fat)",4,FNDDS recipe with replaced or modified SR codes,Base,0.149328
11513300,"Chocolate milk, made from dry mix with fat free milk (Includes nonfat milk; skim milk)",4,FNDDS recipe with replaced or modified SR codes,Base,0.158246
11513310,"Chocolate milk, made from dry mix with non-dairy milk (Includes almond, coconut, rice, or soy milk)",4,FNDDS recipe with replaced or modified SR codes,Base,0.221726
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk (Includes less sugar, sugar free, or fat free mix)",4,FNDDS recipe with replaced or modified SR codes,Base,0.150187
11513355,"Chocolate milk, made from reduced sugar mix with whole milk (Includes less sugar, sugar free, or fat free mix)",4,FNDDS recipe with replaced or modified SR codes,Base,0.152034
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk (Includes less sugar, sugar free, or fat free mix; 2% fat)",4,FNDDS recipe with replaced or modified SR codes,Base,0.149532
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk (Includes less sugar, sugar free, or fat free mix; 1% fat)",4,FNDDS recipe with replaced or modified SR codes,Base,0.144818
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk (Includes less sugar, sugar free, or fat free mix; nonfat milk; skim)",4,FNDDS recipe with replaced or modified SR codes,Base,0.153911
