name,tagged_recipes,protein,fiber,vitamin_a,vitamin_c,vitamin_e,calcium,iron,magnesium,potassium,saturated_fat,added_sugar,sodium,freshwater_withdrawals,stress_weighted_water_use,acidifying_emissions,eutrophying_emissions,ghg_emissions,land_use
Canola Oil,"Chicken Cacciatore,Pasta Spaghetti Cooked,Vegan Chicken Cutlet Cacciatore,HALLS Cajun Shrimp,Fresh Vegetable of the Day,Tostones,French Fries",0,0,0,0,17.5,0,0,0,0,1.8,0,0,238,10594,28.5,19.2,3.8,10.6
Oregano,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore",0,0,1700,2.3,18.3,1500,0,270,0,0,0,0,103,4911,6.4,2.3,0.5,0.4
Garlic,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,Mexican Style Rice",0,0,9,31.2,0.08,0,0,25,1100,0,0,0,14,932,3.6,3.2,0.5,0.4
Tomato,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,Sweet Potato Veggie Burger,Sliced Tomatoes",2,3,833,13.7,0.54,0,0.6,11,364,0,0,256,370,5336,17.2,7.5,2.1,0.8
Salt (Iodized),"Chicken Cacciatore,Pasta Spaghetti Cooked,Vegan Chicken Cutlet Cacciatore,Fresh Vegetable of the Day,Chicken Salad",0,0,0,0,0,3.05,0,0,0.122,0,0,59,103,4911,6.4,2.3,0.5,0.4
Crushed Red Pepper,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,Mexican Style Rice",0,0,0,0,0,0,0,0,2000,0,0,0,103,4911,6.4,2.3,0.5,0.4
Basil,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore",0,0,5280,18,0.8,0,0,64,0,0,0,0,103,4911,6.4,2.3,0.5,0.4
Parsley,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,Birria Style Beef",3,3,8420,133,0.75,138,6.3,50,555,0,0,56,103,4911,6.4,2.3,0.5,0.4
Rosemary,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore",0,0,3130,61.2,0,0,0,220,955,0,0,0,103,4911,6.4,2.3,0.5,0.4
Cooking Wine (sherry),"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,House Made French Onion Soup",0,0,0,0,0,0,0.33,0,67,0,3,533,79,1149,12.8,4.6,1.8,1.8
Chicken Tender,"Chicken Cacciatore,Chicken Tenders",23,0,0,0,0.37,23,0.6,26,0,0,0,66,660,14178,102.4,48.7,9.9,12.2
White Onion,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,House Made French Onion Soup,Mexican Style Rice",1,1,0,0,0,20,0.2,9.3,124,0,0,3,14,932,3.6,3.2,0.5,0.4
Mushroom,"Chicken Cacciatore,Pork Loin with Mushroom Marsala Sauce,Vegan Chicken Cutlet Cacciatore",1,2,0,2.1,0.01,4,1.2,9,244,0,2,172,103,4911,6.4,2.3,0.5,0.4
Green Pepper,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore,Fresh Vegetable of the Day,Mexican Style Rice",1,1,370,80.4,0.37,0,0.4,10,140,0,3,242,103,4911,6.4,2.3,0.5,0.4
Olive,"Chicken Cacciatore,Vegan Chicken Cutlet Cacciatore",0,0,330,0.9,1.65,0,0,4,0,3.3,0,800,2142,177480,37.6,37.3,5.4,26.3
Spaghetti,Pasta Spaghetti Cooked,35,10,0,0,0.06,0,9.1,18,0,0,10,0,648,33386,13.4,7.2,1.6,3.9
Water (tap),"Pasta Spaghetti Cooked,Pork Loin with Mushroom Marsala Sauce,House Made French Onion Soup,Mexican Style Rice,Refried Beans",0,0,0,0,0,3,0,0,0,0,0,4,103,4911,6.4,2.3,0.5,0.4
Pork Loin (boneless),Pork Loin with Mushroom Marsala Sauce,21,0,4,0,0.11,0,6.3,25,0,2.6,0,49,1796,66867,142.7,76.4,12.3,17.4
Oil (butter flavored),"Pork Loin with Mushroom Marsala Sauce,Roasted Butternut Squash",0,0,0,0,8.1,0,0,0,0,21.4,0,786,6,36,17.5,10.7,7.3,2.4
Red Onion,Pork Loin with Mushroom Marsala Sauce,1,1,0,8.1,0,19,0.2,11.4,140,0,4,159,14,932,3.6,3.2,0.5,0.4
Onion Powder,"Pork Loin with Mushroom Marsala Sauce,Chicken Salad",0,0,0,0.562,0.006,0,0,2.71,23.6,0,0,1.75,14,932,3.6,3.2,0.5,0.4
Garlic Powder,"Pork Loin with Mushroom Marsala Sauce,Chicken Salad",0.515,0,0,0.037,0.021,0,0,2.39,1190,0,0,1.86,14,932,3.6,3.2,0.5,0.4
Cooking Wine (marsala),Pork Loin with Mushroom Marsala Sauce,0,0,0,0,0,7,0,0,0,0,29,1143,79,1149,12.8,4.6,1.8,1.8
Chicken Broth,Pork Loin with Mushroom Marsala Sauce,0,0,2,0,0.04,0,0,1,0,0,9,6417,660,14178,102.4,48.7,9.9,12.2
Corn Starch,Pork Loin with Mushroom Marsala Sauce,0,1,0,0,0,2,0.4,0,3,0,0,9,216,10863,11.7,4.0,1.7,2.9
Butternut Squash,Roasted Butternut Squash,1,3,10600,21,1.44,35,0.5,34,241,0,2,3,28,929,2.9,1.6,0.4,0.3
Olive Oil,Roasted Butternut Squash,0,0,58,0,0,1,0.56,0,1,13.8,0,2,2142,177480,37.6,37.3,5.4,26.3
Salt (Kosher),Roasted Butternut Squash,0,0,0,0,0,0,0,0,0,0,0,32000,103,4911,6.4,2.3,0.5,0.4
Black Pepper,"Roasted Butternut Squash,Fresh Vegetable of the Day,House Made French Onion Soup,Chicken Salad",0,0,12.6,0,0.024,10.2,0.223,3.93,30.6,0,0,0.46,103,4911,6.4,2.3,0.5,0.4
Pancake Syrup,Roasted Butternut Squash,0,0,0,0,0,0,0,2,0,0,88,38,620,16439,18.0,16.9,3.2,2.0
Vegan Gluten Free Chicken Cutlet,Vegan Chicken Cutlet Cacciatore,18,5,0,0,0,4,0,0,55,0,0,481,436,22477,22.1,17.1,1.8,15.6
Birria Seasoning,Birria Style Beef,2,0,0,0,0,0,0,0,0,0,2,947,103,4911,6.4,2.3,0.5,0.4
Beef (round),Birria Style Beef,31,0,0,0,0,7,2.5,24,248,3.9,0,40,1451,34733,318.8,301.4,99.5,326.2
Black Bean Soup,Black Bean Soup,5,4,445,0.2,0.36,18,1.2,33,250,0,1,287,436,22477,22.1,17.1,1.8,15.6
White Shrimp,HALLS Cajun Shrimp,19,0,0,0,0,113,0.3,22.5,0,0,0,61,3515,127259,133.1,227.2,26.9,3.0
Cajun Seasoning,HALLS Cajun Shrimp,0,0,0,0,0,125,0,0,0,0,0,9375,103,4911,6.4,2.3,0.5,0.4
Lime,HALLS Cajun Shrimp,1,3,50,29.1,0.22,33,0.6,6,102,0,0,2,83,4663,4.0,2.2,0.4,0.9
Taco Shell (corn),Taco Shell (corn),6,6,0,0,0.69,62,0,83,278,3.1,0,9,216,10863,11.7,4.0,1.7,2.9
Tortilla (flour),Tortilla (flour),10,3,0,0,0,194,3.2,0,0,3.2,0,710,648,33386,13.4,7.2,1.6,3.9
Vegetable Stir Fry,Fresh Vegetable of the Day,1,0,421,15.8,0,24,0,0,0,0,4,24,103,4911,6.4,2.3,0.5,0.4
Broccoli,Fresh Vegetable of the Day,2,3,623,89.2,0.78,38,0.6,21,281,0.1,1,39,119,8455,8.2,5.0,0.5,0.6
Red Bell Pepper,Fresh Vegetable of the Day,1,2,0,142,0,6,0.4,11,179,0.1,4,3,103,4911,6.4,2.3,0.5,0.4
Zucchini Squash,Fresh Vegetable of the Day,1,0,200,17.9,0.12,15,0.3,18,224,0,1,3,103,4911,6.4,2.3,0.5,0.4
Summer Squash,Fresh Vegetable of the Day,1,1,200,17,0.12,23,0.3,17,162,0,2,183,103,4911,6.4,2.3,0.5,0.4
Green Beans,Fresh Vegetable of the Day,2,3,690,12.2,0.41,40,0.6,25,130,0,0,278,397,27948,8.5,7.5,1.0,7.5
Margarine (unsalted),"House Made French Onion Soup,Mexican Style Rice",0,0,3570,0,0,0,0,0,0,32.1,0,0,6,36,17.5,10.7,7.3,2.4
Beef Broth,House Made French Onion Soup,0,0,1,0,0,0,0,0.386,0,8.3,8,6417,1451,34733,318.8,301.4,99.5,326.2
Parboiled Rice,Mexican Style Rice,30,0,0,0,0.03,457,13.7,1.04,571,0,0,0,2248,49576,27.2,35.1,4.5,2.8
Vegetable Broth,Mexican Style Rice,0,0,238,0.4,0,42,0,0.006,425,0,25,3000,103,4911,6.4,2.3,0.5,0.4
Salsa,Mexican Style Rice,0,3,461,1.9,1.28,0,0,0.112,0,0,3,600,370,5336,17.2,7.5,2.1,0.8
Paprika,Mexican Style Rice,0,0,49300,0.9,29.1,0,0,178,0,0,0,0,103,4911,6.4,2.3,0.5,0.4
Cumin,Mexican Style Rice,0,0,1270,7.7,3.33,1000,0,3.33,1429,0,0,0,103,4911,6.4,2.3,0.5,0.4
Corn,Mexican Style Rice,2,2,214,0,0.49,0,0,127,117,0,4,0,216,10863,11.7,4.0,1.7,2.9
Grape Tomato,Mexican Style Rice,1,1,893,27.2,0.98,10,0.3,11.9,237,0,3,5,370,5336,17.2,7.5,2.1,0.8
Guacamole,Guacamole,0,6,333,12,0,0,0,28,500,5.6,0,611,154,9533,5.8,2.4,1.1,0.9
Vegetarian Refried Beans,Refried Beans,6,6,0,0,0,31,1.4,38,308,0.4,0,392,436,22477,22.1,17.1,1.8,15.6
Scallion,Refried Beans,1,1,997,18.8,0.55,21,0.2,20,157,0,4,178,14,932,3.6,3.2,0.5,0.4
Tostones,Tostones,1,3,1190,3.4,0,3,1.4,58,429,0.7,0,21,115,662,6.4,3.3,0.9,1.9
Beef Patty,"Cheeseburger,Hamburger",17,0,0,0,0,22,2.1,0.022,0,11,0,72,1451,34733,318.8,301.4,99.5,326.2
Hamburger Roll,"Cheeseburger,Hamburger",9,2,107,1.3,0.27,80,2.8,0.512,80,0,4,460,648,33386,13.4,7.2,1.6,3.9
American Cheese,Cheeseburger,18,0,0,520,0,536,0,34.6,212,17.9,0,1821,5605,180851,165.5,98.4,23.9,87.8
Fries,French Fries,2,2,0,6.3,0,6,0.9,18,307,0,0,128,59,2754,3.9,3.5,0.5,0.9
Halal Beef Patty,Halal Beef Burger,17,0,0,0,0,9,1.9,0,268,9.8,0,58,1451,34733,318.8,301.4,99.5,326.2
Hot Dog Roll,Hot Dog,9,0,33,1.3,0.41,95,2.3,81,79,0,5,465,648,33386,13.4,7.2,1.6,3.9
