Food commodity ITEM,food_code,matched_affordability_description,match_score
BEER IN CAN,93102000,"Beer, light (Includes lite)",1.0
BEER IN GLASS,93102000,"Beer, light (Includes lite)",1.0
BEER MODULAR CAN,93102000,"Beer, light (Includes lite)",1.0
CHOCOLATE OR CREAM FILLED COOKIES**,53237010,"Cookie, raisin sandwich, cream-filled (Includes Little Debbie Raisin Creme Pie)",0.43793377896682806
SIMPLE COOKIES**,53201000,"Cookie, NFS",1.0
MINERAL WATER*,94100100,"Water, bottled, unsweetened (Includes plain; flavored; spring water, nonsparkling or still; mineral water, nonsparkling or still; Propel Zero Water)",0.4594357120170265
BREAD MULTICEREAL**,51601020,"Bread, multigrain (Includes pre-sliced or not; Sandwich Thins)",1.0
BREAD PLAIN**,51601020,"Bread, multigrain (Includes pre-sliced or not; Sandwich Thins)",1.0
BREAD WHOLE**,51300110,"Bread, whole wheat (Includes pre-sliced, commercial; whole grain)",0.8020196661718153
BREAD FROZEN (F)*,51601020,"Bread, multigrain (Includes pre-sliced or not; Sandwich Thins)",1.0
CORNFLAKES*,57134000,"Cereal, corn flakes (Includes store brands; NFS)",0.7285594188865195
DARK CHOCOLATE,91705300,"Chocolate, sweet or dark (Includes Special Dark; Dove Dark Chocolate bar; Hershey's Special Dark Kisses)",0.3991640466821971
MILK CHOCOLATE,11321200,"Soy milk, nonfat, chocolate (Includes Soymilk)",0.6928121482124394
COFFEE GROUND,92101921,"Frozen coffee drink, nonfat (Includes low fat, fat free, skim or 1% milk; sugar free; plain, unflavored, or flavors other than chocolate; Starbuck's Skinny Frappuccino; Dunkin Donut's Coffee Coolatta; NS as to regular or decaffeinated)",0.5070861439545046
COFFEE PARCHMENT,92101921,"Frozen coffee drink, nonfat (Includes low fat, fat free, skim or 1% milk; sugar free; plain, unflavored, or flavors other than chocolate; Starbuck's Skinny Frappuccino; Dunkin Donut's Coffee Coolatta; NS as to regular or decaffeinated)",0.5070861439545046
COFFEE DRIP FILTERED (L),92101921,"Frozen coffee drink, nonfat (Includes low fat, fat free, skim or 1% milk; sugar free; plain, unflavored, or flavors other than chocolate; Starbuck's Skinny Frappuccino; Dunkin Donut's Coffee Coolatta; NS as to regular or decaffeinated)",0.5070861439545046
COFFEE SOLUBLE POWDER (L),92101921,"Frozen coffee drink, nonfat (Includes low fat, fat free, skim or 1% milk; sugar free; plain, unflavored, or flavors other than chocolate; Starbuck's Skinny Frappuccino; Dunkin Donut's Coffee Coolatta; NS as to regular or decaffeinated)",0.5070861439545046
ESPRESSO (L),92101610,"Coffee, espresso (Includes demi-tasse)",0.6538831154072897
FLAVORED CRACKERS**,54326000,"Crackers, multigrain (Includes Special K Multigrain Snack Crackers; Multigrain Town House Toppers; Wheat Thins Crackers, multigrain; Club Crackers, multigrain; Keebler Multi-Grain Club Crackers; Keebler Club Minis Multi-Grain; low sodium; salt free; reduced fat)",0.7404828351100565
PLAIN CRACKERS**,54326000,"Crackers, multigrain (Includes Special K Multigrain Snack Crackers; Multigrain Town House Toppers; Wheat Thins Crackers, multigrain; Club Crackers, multigrain; Keebler Multi-Grain Club Crackers; Keebler Club Minis Multi-Grain; low sodium; salt free; reduced fat)",1.0
