food_code,FOOD COMMODITY GROUP,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Uncertainty    low (L) high (H),Suggested CF value,Food commodity TYPOLOGY,Carbon Footprint g CO2eq/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY,Carbon Footprint g CO2eq/g o cc of food sub-TYPOLOGY
93102000,AGRICULTURAL PROCESSED,BEER IN CAN,0.69,L,OK item,BEER,0.69,-,-
93102000,AGRICULTURAL PROCESSED,BEER IN GLASS,0.96,L,OK item,BEER,0.69,-,-
93102000,AGRICULTURAL PROCESSED,BEER MODULAR CAN,0.53,L,OK item,BEER,0.69,-,-
53237010,AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES**,1.53,L,OK item,BISCUITS,1.47,-,-
53201000,AGRICULTURAL PROCESSED,SIMPLE COOKIES**,1.39,L,OK item,BISCUITS,1.47,-,-
94100100,AGRICULTURAL PROCESSED,MINERAL WATER*,0.49,H,Item matching typology,BOTTLED WATER* (mineral water),0.49,-,-
51601020,AGRICULTURAL PROCESSED,BREAD MULTICEREAL**,0.7,H,better typology,BREAD,0.86,-,-
51601020,AGRICULTURAL PROCESSED,BREAD PLAIN**,0.89,L,OK item,BREAD,0.86,-,-
51300110,AGRICULTURAL PROCESSED,BREAD WHOLE**,0.77,L,OK item,BREAD,0.86,-,-
51601020,AGRICULTURAL PROCESSED,BREAD FROZEN (F)*,1.31,H,Item matching typology,BREAD FROZEN* (rolls frozen),1.31,-,-
57134000,AGRICULTURAL PROCESSED,CORNFLAKES*,2.64,H,Item matching typology,BREAKFAST CEREALS* (cornflakes),2.64,-,-
91705300,AGRICULTURAL PROCESSED,DARK CHOCOLATE,2.71,H,better typology,CHOCOLATE,3.16,-,-
11321200,AGRICULTURAL PROCESSED,MILK CHOCOLATE,3.6,H,better typology,CHOCOLATE,3.16,-,-
92101921,AGRICULTURAL PROCESSED,COFFEE GROUND,5.13,H,better typology,COFFEE GROUND & PARCHMENT,6.71,-,-
92101921,AGRICULTURAL PROCESSED,COFFEE PARCHMENT,8.29,L,OK item,COFFEE GROUND & PARCHMENT,6.71,-,-
92101921,AGRICULTURAL PROCESSED,COFFEE DRIP FILTERED (L),0.6,H,better typology,COFFEE LIQUID,0.55,-,-
92101921,AGRICULTURAL PROCESSED,COFFEE SOLUBLE POWDER (L),0.33,H,better typology,COFFEE LIQUID,0.55,-,-
92101610,AGRICULTURAL PROCESSED,ESPRESSO (L),0.55,H,better typology,COFFEE LIQUID,0.55,-,-
54326000,AGRICULTURAL PROCESSED,FLAVORED CRACKERS**,0.93,L,OK item,CRACKERS,0.98,-,-
54326000,AGRICULTURAL PROCESSED,PLAIN CRACKERS**,1.35,L,OK item,CRACKERS,0.98,-,-
54326000,AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS**,0.97,L,OK item,CRACKERS,0.98,-,-
27446355,AGRICULTURAL PROCESSED,CRISPBREAD**,1.35,L,OK item,CRISPBREAD**,1.35,-,-
74401010,AGRICULTURAL PROCESSED,KETCHUP,1.46,H,better typology,DRESSING,1.46,-,-
83107000,AGRICULTURAL PROCESSED,MAYONNAISE,2.04,H,better typology,DRESSING,1.46,-,-
75440200,AGRICULTURAL PROCESSED,TEMPE',1.1,H,better typology,DRESSING,1.46,-,-
58148120,AGRICULTURAL PROCESSED,EGG PASTA*,3.15,L,Item matching typology,EGG PASTA*,3.15,-,-
63219610,AGRICULTURAL PROCESSED,RASPBERRIES (F)*,1.18,H,Item matching typology,FRUIT FROZEN* (raspberry),1.18,-,-
64104010,AGRICULTURAL PROCESSED,APPLE JUICE (I),2.84,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100100,AGRICULTURAL PROCESSED,BLUEBERRY JUICE (I),3.0,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100200,AGRICULTURAL PROCESSED,CRANBERRY JUICE (I),2.88,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100100,AGRICULTURAL PROCESSED,FIG JUICE (I),3.2,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100100,AGRICULTURAL PROCESSED,KIWI JUICE (I),2.84,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100100,AGRICULTURAL PROCESSED,MANGO JUICE (I),2.96,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64124020,AGRICULTURAL PROCESSED,PINEAPPLE JUICE (I),2.78,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
64100100,AGRICULTURAL PROCESSED,STRAWBERRY JUICE (I),2.68,H,better typology,FRUIT JUICE (imported ingredients),2.86,-,-
61210000,AGRICULTURAL PROCESSED,ORANGE JUICE,0.46,L,OK item,FRUIT JUICE LOCAL,0.48,-,-
63137170,AGRICULTURAL PROCESSED,PEAR JUICE,0.49,H,better typology,FRUIT JUICE LOCAL,0.48,-,-
56200490,AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,1.96,H,better typology,GRAIN FLOUR,0.87,-,-
51301010,AGRICULTURAL PROCESSED,DURUM WHEAT,0.47,L,OK item,GRAIN FLOUR,0.87,-,-
54102100,AGRICULTURAL PROCESSED,GRAHAM FLOUR,0.47,H,better typology,GRAIN FLOUR,0.87,-,-
52215200,AGRICULTURAL PROCESSED,MAIZE FLOUR,1.31,H,better typology,GRAIN FLOUR,0.87,-,-
56202000,AGRICULTURAL PROCESSED,MILLET FLOUR,1.37,H,better typology,GRAIN FLOUR,0.87,-,-
57000100,AGRICULTURAL PROCESSED,OAT MEAL,0.87,L,OK item,GRAIN FLOUR,0.87,-,-
52215200,AGRICULTURAL PROCESSED,SORGHUM FLOUR,1.33,H,better typology,GRAIN FLOUR,0.87,-,-
