Food commodity ITEM,food_code,matched_affordability_item,match_score
SESAME OIL,82107000,Sesame oil,1.03
OLIVE OIL,82104000,Olive oil,1.03
COCONUT OIL,82101500,Coconut oil,1.03
RAISINS,62125100,Raisins,1.0
MIXED NUTS,42110000,"Mixed nuts, NFS",0.9166666666666667
CHEESE,14010000,"Cheese, NFS",0.89
TOMATO JUICE,74301100,"Tomato juice, 100%",0.8889285714285715
SWEET POTATO,53360000,"Pie, sweet potato",0.8889285714285715
CHOCOLATE,52302600,"Muffin, chocolate",0.8539999999999999
BUTTER*,81100500,"Butter, NFS",0.8375
BANANA,63107010,"Banana, raw",0.83
POTATO,71000100,"Potato, NFS",0.83
PINEAPPLE JUICE,64124020,"Pineapple juice, 100%",0.8264705882352941
TOMATO,74701000,Tomato sandwich,0.7942857142857143
APPLE,53415120,"Fritter, apple",0.7911111111111111
MILK ACID,11100000,"Milk, NFS",0.7907422969187676
COW MILK,54308000,"Crackers, milk",0.7873809523809525
APPLES,53415120,"Fritter, apple",0.7852631578947368
PEANUT,42204050,Peanut sauce,0.7833333333333332
SOY MILK*,11321200,"Soy milk, nonfat, chocolate (Includes Soymilk)",0.7809230769230769
BUTTERED MILK,54308000,"Crackers, milk",0.780787545787546
RICE,13210410,"Pudding, rice",0.7799999999999999
MILK POWDER,11100000,"Milk, NFS",0.7783583959899749
MILK CREAMY,11100000,"Milk, NFS",0.7783583959899749
OLIVE OIL REFINED,82104000,Olive oil,0.7684615384615385
CHEESE GRATED,14650100,Cheese sauce,0.754
CAULIFLOWER,75107000,"Cauliflower, raw",0.7442307692307693
WATERMELON,63149010,"Watermelon, raw",0.7416666666666667
ARTICHOKE,14620110,Artichoke dip,0.7386363636363636
ASPARAGUS* ,75100800,"Asparagus, raw",0.7386363636363636
MARGARINE*,81102000,"Margarine, NFS",0.7386363636363636
BROCCOLI,72201100,"Broccoli, raw",0.735
EGGPLANT,75111200,"Eggplant, raw",0.735
MAIZE OIL,75216137,"Corn, frozen, cooked with oil",0.7338095238095237
PUMPKIN,53347000,"Pie, pumpkin",0.7305555555555555
SPINACH,72125100,"Spinach, raw",0.7305555555555555
AVOCADO,63105010,"Avocado, raw",0.7305555555555555
SOY SAUCE,41420300,Soy sauce (Includes shoyu; tamari),0.7271428571428571
MAIZE,75411020,Corn fritter,0.7270588235294118
OLIVES*,75510000,"Olives, NFS",0.725
GRAPES,63123000,"Grapes, raw",0.725
GARLIC,75111500,"Garlic, raw",0.725
TURNIP,75129000,"Turnip, raw",0.725
SQUASH,53347600,"Pie, squash",0.725
ORANGE JUICE,61210000,"Orange juice, 100%, NFS",0.725
PINEAPPLE,62120100,"Pineapple, dried",0.725
PAPAYA,63133010,"Papaya, raw",0.725
LEMON,61113010,"Lemon, raw",0.7178571428571429
