food_code, ,Food commodity ITEM,Water Footprint liters water/kg o liter of food ITEM,Uncertainty    low  (L)  high (H),Suggested WF value,Food commodity TYPOLOGY,Water Footprint cc water/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY,Water Footprint cc water/g o cc of food sub-TYPOLOGY
53415120,AGRICULTURAL PROCESSED,APPLE JUICE,1140.0,L,ok item,JUICE,1019.0,-,-
57135000,AGRICULTURAL PROCESSED,BARLEY FLAKES,1977.0,L,ok item,BREAKFAST CEREALS,2196.0,-,-
41100990,AGRICULTURAL PROCESSED,BEANS (F),801.0,L,ok item,VEGETABLES FROZEN,750.0,-,-
92410710,AGRICULTURAL PROCESSED,BEER*,155.0,H,item matching typology,BEER*,155.0,-,-
91101000,AGRICULTURAL PROCESSED,BEET SUGAR,865.0,L,ok item,SUGAR,1294.0,-,-
52403000,AGRICULTURAL PROCESSED,BREAD,667.0,L,ok item,BREAD,902.0,-,-
52403000,AGRICULTURAL PROCESSED,BREAD MULTICEREAL**,771.0,L,better typology,BREAD,902.0,-,-
27564020,AGRICULTURAL PROCESSED,BREAD PLAIN**,1031.0,L,ok item,BREAD,902.0,-,-
51301600,AGRICULTURAL PROCESSED,BREAD WHOLE**,887.0,L,ok item,BREAD,902.0,-,-
54319020,AGRICULTURAL PROCESSED,CAKES AND CROISSANT**,1640.0,L,ok item,SWEETS,2158.0,-,-
91300100,AGRICULTURAL PROCESSED,CANE MOLASSE,527.0,L,ok item,SUGAR,1294.0,-,-
91101000,AGRICULTURAL PROCESSED,CANE SUGAR,1724.0,L,ok item,SUGAR,1294.0,-,-
51000200,AGRICULTURAL PROCESSED,CASSAVA FLOUR,1878.0,L,ok item,STARCHY ROOT FLOUR,1657.0,-,-
52302600,AGRICULTURAL PROCESSED,CHOCOLATE,17196.0,L,ok item,COCOA DERIVATES,20717.0,-,-
53521210,AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES**,2902.0,L,ok item,BISCUITS,1870.0,-,-
11511100,AGRICULTURAL PROCESSED,COCOA BUTTER,33938.0,L,ok item,COCOA DERIVATES,20717.0,-,-
91705090,AGRICULTURAL PROCESSED,COCOA CAKES AND CROISSANT**,3468.0,L,ok item,SWEETS,2158.0,-,-
52302600,AGRICULTURAL PROCESSED,COCOA PASTE,24238.0,L,ok item,COCOA DERIVATES,20717.0,-,-
52302600,AGRICULTURAL PROCESSED,COCOA POWDER,15618.0,L,ok item,COCOA DERIVATES,20717.0,-,-
82101500,AGRICULTURAL PROCESSED,COCONUT OIL,4490.0,L,ok item,OIL,6792.0,-,-
12200100,AGRICULTURAL PROCESSED,COFFEE ROASTED,19956.0,H,item matching typology,COFFEE GROUND & PARCHMENT* (coffee roasted),19956.0,-,-
12200100,AGRICULTURAL PROCESSED,COFFEE SOLUBLE,640.0,H,better typology,COFFEE LIQUID,960.0,-,-
12200100,AGRICULTURAL PROCESSED,COFFEE STANDARD,1120.0,H,better typology,COFFEE LIQUID,960.0,-,-
12200100,AGRICULTURAL PROCESSED,COFFEE STRONG,1600.0,H,better typology,COFFEE LIQUID,960.0,-,-
12200100,AGRICULTURAL PROCESSED,COFFEE WEAK,800.0,H,better typology,COFFEE LIQUID,960.0,-,-
75216141,AGRICULTURAL PROCESSED,CORN CANNED,807.0,H,item matching typology,VEGETABLES CANNED,807.0,-,-
81302040,AGRICULTURAL PROCESSED,CRISPBREAD**,1423.0,L,item matching typology,CRISPBREAD**,1423.0,-,-
62113100,AGRICULTURAL PROCESSED,DRIED CASSAVA,1610.0,L,ok item,STARCHY TUBER,1523.0,-,-
58148120,AGRICULTURAL PROCESSED,EGG PASTA*,4637.0,H,item matching typology,EGG PASTA*,4637.0,-,-
54338020,AGRICULTURAL PROCESSED,FLAVORED CRACKERS**,1378.0,L,ok item,CRACKERS,1258.0,-,-
63100100,AGRICULTURAL PROCESSED,FRUCTOSE,1782.0,L,ok item,SUGAR,1294.0,-,-
61201220,AGRICULTURAL PROCESSED,GRAPEFRUIT JUICE,675.0,L,ok item,JUICE,1019.0,-,-
74401010,AGRICULTURAL PROCESSED,KETCHUP,534.0,L,ok item,DRESSING,572.0,-,-
82104000,AGRICULTURAL PROCESSED,LINSEED OIL,9415.0,L,ok item,OIL,6792.0,-,-
58160420,AGRICULTURAL PROCESSED,MAIZE FLOUR & MEAL,1167.0,L,ok item,GRAIN FLOUR,1889.0,-,-
75411020,AGRICULTURAL PROCESSED,MAIZE GROATS,1081.0,L,ok item,"PROCESSED GRAINS (grouts, malt)",2133.0,-,-
51401010,AGRICULTURAL PROCESSED,"MAIZE HULLED, PEARLED, SLICED OR KIBBLED",1314.0,L,ok item,"PROCESSED GRAINS (grouts, malt)",2133.0,-,-
75216137,AGRICULTURAL PROCESSED,MAIZE OIL,2575.0,L,ok item,OIL,6792.0,-,-
75411020,AGRICULTURAL PROCESSED,MAIZE STARCH,1671.0,L,ok item,STARCH,1591.0,-,-
57305170,AGRICULTURAL PROCESSED,MALT,1950.0,L,ok item,"PROCESSED GRAINS (grouts, malt)",2133.0,-,-
