recipe_name,ingredient_name,grams_in_portion
Chicken Salad,Chicken (Boneless),113.4
Chicken Salad,Mayonnaise,8.9625
Chicken Salad,Celery,3.7875
Chicken Salad,Garlic Powder,0.03875
Chicken Salad,Onion Powder,0.03
Chicken Salad,Salt (Iodized),0.15
Chicken Salad,Black Pepper,0.02875
Chicken Cacciatore,Canola Oil,0.68
Chicken Cacciatore,Oregano,0.015
Chicken Cacciatore,Garlic,0.39
Chicken Cacciatore,Tomato,62
Chicken Cacciatore,Salt (Iodized),1.464
Chicken Cacciatore,Crushed Red Pepper,0.424
Chicken Cacciatore,Basil,0.525
Chicken Cacciatore,Parsley,0.25
Chicken Cacciatore,Rosemary,0.176
Chicken Cacciatore,Cooking wine (sherry),37.12
Chicken Cacciatore,Chicken Tender ,112
Chicken Cacciatore,White Onion,8.96
Chicken Cacciatore,Mushroom,6.72
Chicken Cacciatore,Green Pepper,8.96
Chicken Cacciatore,Olive,29
Halls Cajun Shrimp,Canole Oil,2.43
Halls Cajun Shrimp,White Shrimp,101.92
Halls Cajun Shrimp,Cajun Seasoning,1.89
Halls Cajun Shrimp,Lime,4.46
Halls Cajun Shrimp,Parsley Fresh Curley,0.25
House Made French Onion Soup,Cooking Wine (sherry),26.68
House Made French Onion Soup,White Onion,19.8
House Made French Onion Soup,Water (tap),123
House Made French Onion Soup,Black Pepper,0.075
House Made French Onion Soup,Margarine (unsalted),1.19
House Made French Onion Soup,Beef Broth,3
